feature,importance_mean,importance_std,group
rc4_string_score,0.19655403895683782,0.02374657100175944,payload
beacon_jitter,0.0688388674055506,0.013647759116557218,payload
failed_conn_ratio,0.00837308166729941,0.005172913116004001,infection
scan_rate,0.0070946063798131955,0.003913712039666022,infection
rpc_endpoint_ratio,0.002747357133379791,0.003970692055926218,resolution
login_burst_count,0.0019850246442282616,0.003826242515256767,infection
updownlink_ratio,0.0015437256306198854,0.0015437256306198854,relay
ens_query_rate,0.0005284278635814155,0.001385344456163719,resolution
bidir_flow_duration,2.3782143590234118e-05,0.0037142846077482705,relay
upnp_addportmapping,0.0,0.0,relay
serverlist_pull,-0.0002562266252884471,0.0007686798758653413,resolution
flow_fanout,-0.0007686798758653413,0.001174177905447395,relay
beacon_interval,-0.0007686798758653413,0.001174177905447395,payload
mean_pkt_size,-0.0015319811245838478,0.002390738955199106,payload
resolution_entropy,-0.0018445134081323754,0.0017476692709227962,resolution
distinct_dst_ports,-0.004198154073938953,0.0026731307047347273,infection
